x y s l
300000.00 500000.00 25 25
300400.00 500000.00 25 26
300800.00 500000.00 25 27
301200.00 500000.00 25 28
301600.00 500000.00 25 29
302000.00 500000.00 25 30
302400.00 500000.00 25 31
302800.00 500000.00 25 32
303200.00 500000.00 25 33
303600.00 500000.00 25 34
304000.00 500000.00 25 35
304400.00 500000.00 25 36
304800.00 500000.00 25 37
305200.00 500000.00 25 38
305600.00 500000.00 25 39
306000.00 500000.00 25 40
306400.00 500000.00 25 41
306800.00 500000.00 25 42
307200.00 500000.00 25 43
307600.00 500000.00 25 44
308000.00 500000.00 25 45
300200.00 500400.00 26 25
300600.00 500400.00 26 26
301000.00 500400.00 26 27
301400.00 500400.00 26 28
301800.00 500400.00 26 29
302200.00 500400.00 26 30
302600.00 500400.00 26 31
303000.00 500400.00 26 32
303400.00 500400.00 26 33
303800.00 500400.00 26 34
304200.00 500400.00 26 35
304600.00 500400.00 26 36
305000.00 500400.00 26 37
305400.00 500400.00 26 38
305800.00 500400.00 26 39
306200.00 500400.00 26 40
306600.00 500400.00 26 41
307000.00 500400.00 26 42
307400.00 500400.00 26 43
307800.00 500400.00 26 44
300000.00 500800.00 27 25
300400.00 500800.00 27 26
300800.00 500800.00 27 27
301200.00 500800.00 27 28
301600.00 500800.00 27 29
302000.00 500800.00 27 30
302400.00 500800.00 27 31
302800.00 500800.00 27 32
303200.00 500800.00 27 33
303600.00 500800.00 27 34
304000.00 500800.00 27 35
304400.00 500800.00 27 36
304800.00 500800.00 27 37
305200.00 500800.00 27 38
305600.00 500800.00 27 39
306000.00 500800.00 27 40
306400.00 500800.00 27 41
306800.00 500800.00 27 42
307200.00 500800.00 27 43
307600.00 500800.00 27 44
308000.00 500800.00 27 45
300200.00 501200.00 28 25
300600.00 501200.00 28 26
301000.00 501200.00 28 27
301400.00 501200.00 28 28
301800.00 501200.00 28 29
302200.00 501200.00 28 30
302600.00 501200.00 28 31
303000.00 501200.00 28 32
303400.00 501200.00 28 33
303800.00 501200.00 28 34
304200.00 501200.00 28 35
304600.00 501200.00 28 36
305000.00 501200.00 28 37
305400.00 501200.00 28 38
305800.00 501200.00 28 39
306200.00 501200.00 28 40
306600.00 501200.00 28 41
307000.00 501200.00 28 42
307400.00 501200.00 28 43
307800.00 501200.00 28 44
300000.00 501600.00 29 25
300400.00 501600.00 29 26
300800.00 501600.00 29 27
301200.00 501600.00 29 28
301600.00 501600.00 29 29
302000.00 501600.00 29 30
302400.00 501600.00 29 31
302800.00 501600.00 29 32
303200.00 501600.00 29 33
303600.00 501600.00 29 34
304000.00 501600.00 29 35
304400.00 501600.00 29 36
304800.00 501600.00 29 37
305200.00 501600.00 29 38
305600.00 501600.00 29 39
306000.00 501600.00 29 40
306400.00 501600.00 29 41
306800.00 501600.00 29 42
307200.00 501600.00 29 43
307600.00 501600.00 29 44
308000.00 501600.00 29 45
300200.00 502000.00 30 25
300600.00 502000.00 30 26
301000.00 502000.00 30 27
301400.00 502000.00 30 28
301800.00 502000.00 30 29
302200.00 502000.00 30 30
302600.00 502000.00 30 31
303000.00 502000.00 30 32
303400.00 502000.00 30 33
303800.00 502000.00 30 34
304200.00 502000.00 30 35
304600.00 502000.00 30 36
305000.00 502000.00 30 37
305400.00 502000.00 30 38
305800.00 502000.00 30 39
306200.00 502000.00 30 40
306600.00 502000.00 30 41
307000.00 502000.00 30 42
307400.00 502000.00 30 43
307800.00 502000.00 30 44
300000.00 502400.00 31 25
300400.00 502400.00 31 26
300800.00 502400.00 31 27
301200.00 502400.00 31 28
301600.00 502400.00 31 29
302000.00 502400.00 31 30
302400.00 502400.00 31 31
302800.00 502400.00 31 32
303200.00 502400.00 31 33
303600.00 502400.00 31 34
304000.00 502400.00 31 35
304400.00 502400.00 31 36
304800.00 502400.00 31 37
305200.00 502400.00 31 38
305600.00 502400.00 31 39
306000.00 502400.00 31 40
306400.00 502400.00 31 41
306800.00 502400.00 31 42
307200.00 502400.00 31 43
307600.00 502400.00 31 44
308000.00 502400.00 31 45
300200.00 502800.00 32 25
300600.00 502800.00 32 26
301000.00 502800.00 32 27
301400.00 502800.00 32 28
301800.00 502800.00 32 29
302200.00 502800.00 32 30
302600.00 502800.00 32 31
303000.00 502800.00 32 32
303400.00 502800.00 32 33
303800.00 502800.00 32 34
304200.00 502800.00 32 35
304600.00 502800.00 32 36
305000.00 502800.00 32 37
305400.00 502800.00 32 38
305800.00 502800.00 32 39
306200.00 502800.00 32 40
306600.00 502800.00 32 41
307000.00 502800.00 32 42
307400.00 502800.00 32 43
307800.00 502800.00 32 44
300000.00 503200.00 33 25
300400.00 503200.00 33 26
300800.00 503200.00 33 27
301200.00 503200.00 33 28
301600.00 503200.00 33 29
302000.00 503200.00 33 30
302400.00 503200.00 33 31
302800.00 503200.00 33 32
303200.00 503200.00 33 33
303600.00 503200.00 33 34
304000.00 503200.00 33 35
304400.00 503200.00 33 36
304800.00 503200.00 33 37
305200.00 503200.00 33 38
305600.00 503200.00 33 39
306000.00 503200.00 33 40
306400.00 503200.00 33 41
306800.00 503200.00 33 42
307200.00 503200.00 33 43
307600.00 503200.00 33 44
308000.00 503200.00 33 45
300200.00 503600.00 34 25
300600.00 503600.00 34 26
301000.00 503600.00 34 27
